,address,price,agency_property_listings_url,agency_logo,property_images,property_url,property_id,move_in_date,data_collection_date,listing_title,listing_description,num_bedrooms,num_bathrooms,num_garages,property_features,google_maps_location_url,gps_coordinates,suburb,state_and_territory,postcode,agent_name,off_market,ad_details_included,ad_removed_date,ad_posted_date
0,"4/150 Monaro Crescent, RED HILL",$350 per week,https://tenantapp.com.au/Rentals/Agency/ljhmanuka,https://inspectre.blob.core.windows.net/logos/ljhmanuka.jpg,"['https://inspectre.blob.core.windows.net/images/normal/002084/img_712520_3e4e860e5b1a9ba5bf683dceef7e099e.jpg?1628760612', 'https://inspectre.blob.core.windows.net/images/normal/002084/img_712520_0584e642186d58e5c752d2001c5906ff.jpg?1628760612', 'https://inspectre.blob.core.windows.net/images/normal/002084/img_712520_ebac2251ae5e06e8d4c9347c651f4066.jpg?1628760612', 'https://inspectre.blob.core.windows.net/images/normal/002084/img_712520_4027de12290cbf66be04244fec310f1f.jpg?1628760612', 'https://inspectre.blob.core.windows.net/images/normal/002084/img_712520_b8fa8a30b0ea763213328f4f7e5f0a9b.jpg?1628760612', 'https://inspectre.blob.core.windows.net/images/normal/002084/img_712520_e749c814d5cbe2a5b3bc27d93040db7a.jpg?1628760612', 'https://inspectre.blob.core.windows.net/images/normal/002084/img_712520_646daea115248705d2769c7099ac42cc.jpg?1628760612', 'https://inspectre.blob.core.windows.net/images/normal/002084/img_712520_da9ed7604114736e1474b23d92de3271.jpg?1628760612']",https://tenantapp.com.au/Rentals/ViewListing/712520,712520,10/11/22,2022-10-31 10:52:25,STYLISH ONE BEDROOM APARTMENT,"This stylish one bedroom apartment in the heart of Canberra's trendy Inner South & it will appeal to those looking for a super convenient lifestyle.\n\nThe spacious apartment is located in a well presented boutique complex and has been updated throughout. Boasting a sun-drenched north facing lounge room with private leafy outlook, stylish kitchen with electric cook top, updated bathroom with down lights and large bedroom with mirrored BIR, there is nothing to do but to simply move in and enjoy. With an ultra-convenient location and shops and transport close by, this property ticks all of your boxes.\n\nFeatures include:\n- Well-presented boutique complex of 8\n- Updated throughout with stylish neutral decor\n- Generous sun drenched lounge room with private north facing outlook\n- Modern kitchen with electric cook-top\n- Large bedroom with mirrored BIR\n- Updated bathroom with down lights\n- Covered carport\n\nPets will be considered on application. \n\nThere is no EER available for this property.\n\nOPEN HOMES MADE EASY FOR YOU!!\n\nTo register for an open click MAKE AN ENQUIRY or click EMAIL AGENT on LJ Hooker Manuka or any other websites to enter your details and you will be emailed/text instantly with available open times and how to register\n\nOpen times are subject to change. Please ensure you have registered to the inspection time so you will be notified of any changes or cancellations.\n\nPlease note: Our Leasing Consultant will send you an updated rental list each week to keep you informed of our current rental properties. If at any time you would like your email to be removed please reply UNSUBSCRIBE to the email.\n\nDisclaimer:\nWhile all care has been taken in compiling information regarding properties marketed for rent or sale, we accept no responsibility and disclaim all liabilities in regards to any errors or inaccuracies contained herein. All parties should rely on their own investigation to validate information provided.\n\nCOVID-19: Our top priority is the safety of our clients, team members and the community.\nPlease keep 1.5-metre distance to our property consultants and other people in the property and we will provide hand sanitizer to use upon entry.\n\nYour safety is important to us. For the latest information, visit https://www.health.gov.au/",1,1,1,[],"https://www.google.com/maps/search/?api=1&query=4%2F150%20Monaro%20Crescent%2C%20RED%20HILL;&center=-35.3394783,149.1311206&zoom=20;","GPS Location: -35.3394783, 149.1311206",RED HILL,ACT,2603,Leasing Consultant,False,True,,2022-10-31 10:52:25
1,"5 Dimby Street, Harrison",$900,https://tenantapp.com.au/Rentals/Agency/LaCasa,https://inspectre.blob.core.windows.net/logos/LaCasa.png,"['https://inspectre.blob.core.windows.net/images/normal/AB-LaCasa/img_3818760_fdb1db11aade39026bfacce61a57f79b.jpg?1666957094', 'https://inspectre.blob.core.windows.net/images/normal/AB-LaCasa/img_3818760_5b4f4f5d7819bec76c44b3bd0fea662c.jpg?1667056082', 'https://inspectre.blob.core.windows.net/images/normal/AB-LaCasa/img_3818760_34bd9d7aecf5b9eb39ae714a05404d15.jpg?1666957095', 'https://inspectre.blob.core.windows.net/images/normal/AB-LaCasa/img_3818760_7fd44a02ecbc238c2a6600fb9655fcc6.jpg?1667056083', 'https://inspectre.blob.core.windows.net/images/normal/AB-LaCasa/img_3818760_dfc27897e71b54997c8abf93196d005a.jpg?1667056064', 'https://inspectre.blob.core.windows.net/images/normal/AB-LaCasa/img_3818760_fc81c267daa85fbd6b987d9e95d43e57.jpg?1667056082', 'https://inspectre.blob.core.windows.net/images/normal/AB-LaCasa/img_3818760_1a92b29b4401ee1f8b1a84e4015b228c.jpg?1666968234', 'https://inspectre.blob.core.windows.net/images/normal/AB-LaCasa/img_3818760_0c37ddaf19656072c6dcc5efd5393f43.jpg?1667056044', 'https://inspectre.blob.core.windows.net/images/normal/AB-LaCasa/img_3818760_14e9340211f3913609ad34bab0361fa6.jpg?1666957085', 'https://inspectre.blob.core.windows.net/images/normal/AB-LaCasa/img_3818760_82a147c6e9c928f11eeeb40756e5e700.jpg?1667056062', 'https://inspectre.blob.core.windows.net/images/normal/AB-LaCasa/img_3818760_4507aff2c49a54d7e56983e845d5372a.jpg?1666957088', 'https://inspectre.blob.core.windows.net/images/normal/AB-LaCasa/img_3818760_15f21ba2f94336ff0a6c39673d729862.jpg?1667056065', 'https://inspectre.blob.core.windows.net/images/normal/AB-LaCasa/img_3818760_21582fae0b3bcac10d9a9965def51bb4.jpg?1666957085', 'https://inspectre.blob.core.windows.net/images/normal/AB-LaCasa/img_3818760_f1ed9fbd37c3102b166ef7cd98c28445.jpg?1666957089', 'https://inspectre.blob.core.windows.net/images/normal/AB-LaCasa/img_3818760_49fdb1fd95e26261e4a03e36fba10db8.jpg?1667056080', 'https://inspectre.blob.core.windows.net/images/normal/AB-LaCasa/img_3818760_75c30b88ef0aca055f50fedcb639fee7.jpg?1667056075', 'https://inspectre.blob.core.windows.net/images/normal/AB-LaCasa/img_3818760_765fa63ab42f7bcd183306e064e2dcad.jpg?1666957085', 'https://inspectre.blob.core.windows.net/images/normal/AB-LaCasa/img_3818760_8bfaddfe90dd5dde3a5a2a4146831393.jpg?1666957093', 'https://inspectre.blob.core.windows.net/images/normal/AB-LaCasa/img_3818760_f994e09274ccbae3429cdfd13c3e3a97.jpg?1666957088', 'https://inspectre.blob.core.windows.net/images/normal/AB-LaCasa/img_3818760_9642b28c49863e70e222a42e24fe91fc.jpg?1667056076', 'https://inspectre.blob.core.windows.net/images/normal/AB-LaCasa/img_3818760_d0c56a115ce5b159804ccc1e6e6304dc.jpg?1667056079', 'https://inspectre.blob.core.windows.net/images/normal/AB-LaCasa/img_3818760_f4e8f46b9d57def81df749a9413658e6.jpg?1667060370', 'https://inspectre.blob.core.windows.net/images/normal/AB-LaCasa/img_3818760_4187a8a888c471c37445e42d1d71b5c1.jpg?1667060365', 'https://inspectre.blob.core.windows.net/images/normal/AB-LaCasa/img_3818760_da789eeab11124466d9c16ca8c3107c4.jpg?1667060374', 'https://inspectre.blob.core.windows.net/images/normal/AB-LaCasa/img_3818760_a41d380e314ee62f06f45b3291e52aa6.jpg?1667060368', 'https://inspectre.blob.core.windows.net/images/normal/AB-LaCasa/img_3818760_6ac751c4d40c1af0584c1220907c9896.jpg?1666957090', 'https://inspectre.blob.core.windows.net/images/normal/AB-LaCasa/img_3818760_176c95df7328614c8d473e3717460eee.jpg?1667056060']",https://tenantapp.com.au/Rentals/ViewListing/3818760,3818760,10/11/22,2022-10-31 10:52:26,The ultimate laid-back house in an extremely convenient location!,"This 4-bedroom, 2-bathroom, 2-car garage house in Harrison unquestionably enjoys the most advantageous location. Not only are buses 18, 21, and 22 located just in front of the house, but the Nullarbor Avenue light rail station is only a 10-minute walk away. Furthermore, the suburb surrounding the house is well-planned and includes a variety of easily accessible restaurants, bakeries, schools, parks, etc. The most famous Mullion Park in Harrison is about 300 meters from your house. Thus, you may experience the utmost ease while also having more options for leisurely relaxation.\n\nThe entire house is designed as a double living room, with a versatile and roomy living area at the entrance connected to the other living room by an open kitchen. Next to the second living room, the floor-to-ceiling windows that connect to the Japanese garden make the house exceptionally bright and airy. After traversing two living rooms and a kitchen, we will reach a rather private area in the house's backside. Three single rooms and a very spacious master bedroom provide tenants with plenty of space and possibilities. There is not just a bathroom but also a separate cloakroom in the master suite, making it quite roomy and cozy to live here.\n\nFeatures:\n-	Tesla charging post\n-	Cozy garden with high privacy and rustic style\n-	Bright and spacious interior\n-       Separate cloakroom for master bedroom\n-	Range hoods and flooring and curtains have been recently renovated throughout the house\n-	Bathroom appliances like taps and shower roses have been renovated\n-	Partially furnished\n-	separate living areas, gas cooktop, ducted reverse cycle air conditioning\n-	Excellent location, close to LRT, schools and supermarkets, bus stop in front of city",4,2,2,[],"https://www.google.com/maps/search/?api=1&query=5%20Dimby%20Street%2C%20Harrison;&center=-35.20057678,149.15768433&zoom=20;","GPS Location: -35.20057678, 149.15768433",Harrison,ACT,2914,Mabel Chau,False,True,,2022-10-31 10:52:26
2,"18 Bondfield Street, Gungahlin",$620pw,https://tenantapp.com.au/Rentals/Agency/PBGungahlin,https://inspectre.blob.core.windows.net/logos/PBGungahlin.jpg,"['https://inspectre.blob.core.windows.net/images/normal/AB-BSGUNGAHLIN/img_450565_c5a7e5f476bfea52fae120ba5a7e6906.jpg?1666875393', 'https://inspectre.blob.core.windows.net/images/normal/AB-BSGUNGAHLIN/img_450565_24efada1f7409ac0add75e9cba6e419f.jpg?1666875392', 'https://inspectre.blob.core.windows.net/images/normal/AB-BSGUNGAHLIN/img_450565_200f544c1b741c8af6a3bcf654b1aca9.jpg?1666874728', 'https://inspectre.blob.core.windows.net/images/normal/AB-BSGUNGAHLIN/img_450565_2ca09aa547b47fb17dbf714fb87a8820.jpg?1666874731', 'https://inspectre.blob.core.windows.net/images/normal/AB-BSGUNGAHLIN/img_450565_785552e67c43bbf680ca882d1a6ae123.jpg?1666874727', 'https://inspectre.blob.core.windows.net/images/normal/AB-BSGUNGAHLIN/img_450565_842b346c2851d2d0bf6339fc84d0c6e9.jpg?1666874729', 'https://inspectre.blob.core.windows.net/images/normal/AB-BSGUNGAHLIN/img_450565_ee60d6d7126baa889ee92de0f8607b41.jpg?1666874732', 'https://inspectre.blob.core.windows.net/images/normal/AB-BSGUNGAHLIN/img_450565_de7fee4f22882edfb8044f4ce793f308.jpg?1666875393', 'https://inspectre.blob.core.windows.net/images/normal/AB-BSGUNGAHLIN/img_450565_6a12020d8a54c12871a65ac784ac82fc.jpg?1666874730', 'https://inspectre.blob.core.windows.net/images/normal/AB-BSGUNGAHLIN/img_450565_b367119bc0447cde4fb93f7fdd3cdc3b.jpg?1666875292']",https://tenantapp.com.au/Rentals/ViewListing/450565,450565,10/11/22,2022-10-31 10:52:27,Single level family home,"Don't miss your opportunity to secure this single level three bedroom home situated within close proximity to Gungahlin's Yerrabi district.
\n
\nThis light-filled property features generous sized living areas including formal lounge room and open plan kitchen/living area. The rear courtyard area is easily accessible from the living room - perfect for entertaining.
\n
\nAll three bedrooms offer built-in wardrobes along with an ensuite to the master bedroom.
\n
\nLocated only minutes to Gungahlin Town Centre this property is in an ideal location for both working professionals and families.
\n
\n• Fresh paint and blinds throughout  
\n• Generous sized living areas
\n• Gas cooking and quality appliances
\n• Ducted gas heating
\n• Reverse cycle heating/cooling unit in living room
\n• Ensuite to master bedroom
\n• Entertainment area
\n• Double garage with internal access
\n
\nAvailable 31st October 2022 
\n
\nInspections
\nWe are a Covid safe office, we would ask you to observe physical distancing while viewing or waiting to view an open home. Thank you for your co-operation.
\n
\nPets
\nIn accordance with the Residential Tenancies Act Clause 71AE Process for tenant seeking consent - the tenant must apply, in writing, to the lessor, for the lessors' consent to keep pet/s at this property.
\nThe lessor may impose conditions on consent, including but not limited to, the number and type of animals being kept, and any cost involved for rectification required as a result of the animal.
\n
\nDisclaimer
\nPlease note whilst all care has been taken in providing this marketing information, Blackshaw Gungahlin does not accept liability for any errors within the text or details of this listing. Interested parties should conduct their own research in confirming the information provided.",3,2,2,['Cooling'],"https://www.google.com/maps/search/?api=1&query=18%20Bondfield%20Street%2C%20Gungahlin;&center=-35.178294,149.137886&zoom=20;","GPS Location: -35.178294, 149.137886",Gungahlin,ACT,2912,Property Management,False,True,,2022-10-31 10:52:27
3,"7 Tana Place, NGUNNAWAL",$550 per week,https://tenantapp.com.au/Rentals/Agency/LJHGungahlin,https://inspectre.blob.core.windows.net/logos/LJHGungahlin.png,"['https://inspectre.blob.core.windows.net/images/normal/LJH-1467/img_1992770_22b4ad378b81975330baf47fb3df7ad3.jpg?1667088000', 'https://inspectre.blob.core.windows.net/images/normal/LJH-1467/img_1992770_80d38d6e6a844631dfee8ebe39509858.jpg?1667088000', 'https://inspectre.blob.core.windows.net/images/normal/LJH-1467/img_1992770_5ec8b54524e321b4dd05048ce05a9a01.jpg?1667088000', 'https://inspectre.blob.core.windows.net/images/normal/LJH-1467/img_1992770_47f1ecb498ee187f49a2e429221e8025.jpg?1667088000', 'https://inspectre.blob.core.windows.net/images/normal/LJH-1467/img_1992770_37849205f39ed12518fa5d7f6b9de6d0.jpg?1667088000', 'https://inspectre.blob.core.windows.net/images/normal/LJH-1467/img_1992770_f39f0b06d7c736c98293f0ad450e9f33.jpg?1667088000', 'https://inspectre.blob.core.windows.net/images/normal/LJH-1467/img_1992770_21673d7d28d6c5c20c395f392cd70ad1.jpg?1667088000', 'https://inspectre.blob.core.windows.net/images/normal/LJH-1467/img_1992770_602fc22fced4b76dd0d47f14ddffaf6a.jpg?1667088000', 'https://inspectre.blob.core.windows.net/images/normal/LJH-1467/img_1992770_6d0767b22743f10ffcd579a9ed0abaae.jpg?1667088000', 'https://inspectre.blob.core.windows.net/images/normal/LJH-1467/img_1992770_65ff0ee578286ad70c25a9c30ff726ef.jpg?1667088000', 'https://inspectre.blob.core.windows.net/images/normal/LJH-1467/img_1992770_3408b0507a6f1cb614989333960f38d6.jpg?1667088000', 'https://inspectre.blob.core.windows.net/images/normal/LJH-1467/img_1992770_a340df08e13af88d1e8089fa7f5dde10.jpg?1667088000', 'https://inspectre.blob.core.windows.net/images/normal/LJH-1467/img_1992770_2920a4d78baffa403fed042679e21939.jpg?1667088000', 'https://inspectre.blob.core.windows.net/images/normal/LJH-1467/img_1992770_c28fc89f801a9bba17c8b9a28a3a9ccd.jpg?1667088000', 'https://inspectre.blob.core.windows.net/images/normal/LJH-1467/img_1992770_eb7f329b05f87143f3c1ddeb296d4ff4.jpg?1667088000', 'https://inspectre.blob.core.windows.net/images/normal/LJH-1467/img_1992770_d672b63714acdc5d688db04dbde0d61b.jpg?1667088000', 'https://inspectre.blob.core.windows.net/images/normal/LJH-1467/img_1992770_f8eeb85b7c027b49b61f263f0f480760.jpg?1667088000', 'https://inspectre.blob.core.windows.net/images/normal/LJH-1467/img_1992770_384c34ebd32b0d06362d28a35e67a879.jpg?1667088000']",https://tenantapp.com.au/Rentals/ViewListing/1992770,1992770,10/11/22,2022-10-31 10:52:32,3 Bedroom Home In Quiet Cul-De-Sac,"- Separate lounge and family room, NBN
\n- Open plan kitchen
\n- 3 Bedrooms, all with built in robes and master with 2 way bathroom
\n- Gas wall furnace to family room and split system to lounge room and main bedroom
\n-  enclosed back yard
\n- Single garage with internal access
\n
\nLocated minutes from local shops and schools and a close drive to the great Casey shopping precinct with an abundance of restaurants, pubs and cafes.
\n
\nDisclaimer: 
\nEER: Unless an EER is stated, there is no current EER available
\n
\nPETS: please be aware that at all stages of tenancy this property requires consent to be sought in writing for the keeping of any pets at the premises. Consent must be provided in writing before any pets are at the premises
\n
\nTO ARRANGE AN INSPECTION PLEASE:
\n1. Click on book inspection button
\n2. Complete your details
\n3. Answer pre-qualifying questions
\n4. Register for a time
\nNOTE: IF you do not register you will not be notified of cancellations or changes to the inspection. If no-one has registered for the inspection, the inspection will not go ahead. Alternatively call the office on 6213 3999 to book an appointment
\n
