,address,price,agency_property_listings_url,agency_logo,property_images,property_url,property_id,move_in_date,data_collection_date,listing_title,listing_description,num_bedrooms,num_bathrooms,num_garages,property_features,google_maps_location_url,gps_coordinates,suburb,state_and_territory,postcode,agent_name,off_market,ad_details_included,ad_removed_date,ad_posted_date
0,"30 Springwood Road, Underwood",$500pw,https://tenantapp.com.au/Rentals/Agency/LJHShailerPark,https://inspectre.blob.core.windows.net/logos/LJHShailerPark.jpg,"['https://inspectre.blob.core.windows.net/images/normal/LJH-3069/img_1137549_b9389ba4e59ae8b81f544777dba8b93d.jpg?1667001600', 'https://inspectre.blob.core.windows.net/images/normal/LJH-3069/img_1137549_2c579570ca6816438c67c7f582c99486.jpg?1667001600', 'https://inspectre.blob.core.windows.net/images/normal/LJH-3069/img_1137549_bcb98969d98b2dd84d5a0fa8578bc5f9.jpg?1667001600', 'https://inspectre.blob.core.windows.net/images/normal/LJH-3069/img_1137549_b8818efc6273a3dfebe3d6d4ff0f98ef.jpg?1667001600', 'https://inspectre.blob.core.windows.net/images/normal/LJH-3069/img_1137549_5757e74b9786f88179a911d4d0f61b2e.jpg?1667001600', 'https://inspectre.blob.core.windows.net/images/normal/LJH-3069/img_1137549_bdd93d46d7c53409ba6917a6f5017142.jpg?1667001600', 'https://inspectre.blob.core.windows.net/images/normal/LJH-3069/img_1137549_60bc69676a59424ea14943423d2e7bbc.jpg?1667001600', 'https://inspectre.blob.core.windows.net/images/normal/LJH-3069/img_1137549_4169924c50eb4f679de9e092ce02413b.jpg?1667001600', 'https://inspectre.blob.core.windows.net/images/normal/LJH-3069/img_1137549_dccdf726fb4304348abd78403127333a.jpg?1667001600', 'https://inspectre.blob.core.windows.net/images/normal/LJH-3069/img_1137549_c008426a8a590b9c1b918b5bd68ca13e.jpg?1667001600', 'https://inspectre.blob.core.windows.net/images/normal/LJH-3069/img_1137549_9df9e8dc3f2e35597bf964099a80bdbf.jpg?1667001600', 'https://inspectre.blob.core.windows.net/images/normal/LJH-3069/img_1137549_12f477d87e64ac5076ec8d2c63770bab.jpg?1667001600', 'https://inspectre.blob.core.windows.net/images/normal/LJH-3069/img_1137549_7dd41e9be0ff2e9955f66d8912857bee.jpg?1667001600', 'https://inspectre.blob.core.windows.net/images/normal/LJH-3069/img_1137549_876c772c1adf9d0a8bf6e9734ca4d275.jpg?1667001600', 'https://inspectre.blob.core.windows.net/images/normal/LJH-3069/img_1137549_5df715b7337e73b418062f0a5f2ca849.jpg?1667001600', 'https://inspectre.blob.core.windows.net/images/normal/LJH-3069/img_1137549_92ef67eedbfdbf19aa64b610e50a07ec.jpg?1667001600', 'https://inspectre.blob.core.windows.net/images/normal/LJH-3069/img_1137549_73816f8cfed90984eb1574ba85665966.jpg?1667001600', 'https://inspectre.blob.core.windows.net/images/normal/LJH-3069/img_1137549_f93785da88ecd9b04889b93f1c46cb69.jpg?1667001600', 'https://inspectre.blob.core.windows.net/images/normal/LJH-3069/img_1137549_1ab5b05ba9db54ce7863540f6e4ded58.jpg?1667001600', 'https://inspectre.blob.core.windows.net/images/normal/LJH-3069/img_1137549_92f005352a0be87a10eb7a8f261a7042.jpg?1667001600']",https://tenantapp.com.au/Rentals/ViewListing/1137549,1137549,Now,2022-10-31 11:53:01,UNDERWOOD PRISTINE IN SUPERB LOCATION,"This very well presented, neat   tidy 4 bedroom split level home is in pristine condition and in a fantastic location. 4 good sized bedrooms, 2 living areas and a lovely rear deck, this home will not last long. You can walk to all amenities, like school, shopping centre, library, swimming pool and bus interchange and a swift access to the Pacific Motorway is an extra bonus. The features are:\n\n* 4 bedrooms, 3 with built-in   3 bedrooms upstairs, 1 bedroom downstairs \n* Immaculate polished timber floor throughout\n* Living   dining areas with neat polished timber floor and tiles \n* Air-conditioned living room \n* Ceiling fans\n* Modern kitchen with large pantry   lots of storage space\n* Trendy bathroom\n* 2nd toilet near laundry area \n* Enclosed verandah provides extra living space\n* Rear deck for entertaining \n* Pergola sun room\n* Double carport with secure gate\n* 3,000L slim line water tank\n* 2 garden sheds\n* fully colour bond fenced for privacy and security\n* Pets on application\n\n*** To register your interest and to arrange an inspection please click on the Book Inspection or Email Agent buttons ***",4,1,2,[],"https://www.google.com/maps/search/?api=1&query=30%20Springwood%20Road%2C%20Underwood;&center=-27.610071182250977,153.12071228027344&zoom=20;","GPS Location: -27.610071182250977, 153.12071228027344",Underwood,QLD,4119,Neil Cowan,False,True,,2022-10-31 11:53:01
1,"19 Colonial Court, Raceview",$410pw,https://tenantapp.com.au/Rentals/Agency/EldersIpswich,https://inspectre.blob.core.windows.net/logos/EldersIpswich.jpeg,"['https://inspectre.blob.core.windows.net/images/normal/AB-EldersIpswich/img_1409803_70799f6f06940852c2fa74c10fcc7017.jpg?1666960071', 'https://inspectre.blob.core.windows.net/images/normal/AB-EldersIpswich/img_1409803_7cd35017a625cc95b3b9726626d91e2b.jpg?1666960070', 'https://inspectre.blob.core.windows.net/images/normal/AB-EldersIpswich/img_1409803_1dd7c3b715acedc8e2973bec67fe5d18.jpg?1666960073', 'https://inspectre.blob.core.windows.net/images/normal/AB-EldersIpswich/img_1409803_9515827ecf8463cb4b211f307507a600.jpg?1666960076', 'https://inspectre.blob.core.windows.net/images/normal/AB-EldersIpswich/img_1409803_013403729c9237cf1698e83a66f89bda.jpg?1666960074', 'https://inspectre.blob.core.windows.net/images/normal/AB-EldersIpswich/img_1409803_a08108b133288859f3f505d08646fd11.jpg?1666960068', 'https://inspectre.blob.core.windows.net/images/normal/AB-EldersIpswich/img_1409803_e7ff273fa88b4557c139a78823b2ead8.jpg?1666960071', 'https://inspectre.blob.core.windows.net/images/normal/AB-EldersIpswich/img_1409803_cfd7081f95bc9b9c7b317603c6b4ccec.jpg?1666960070', 'https://inspectre.blob.core.windows.net/images/normal/AB-EldersIpswich/img_1409803_a380455c5a0b3a638fda1458774cc84b.jpg?1666960072', 'https://inspectre.blob.core.windows.net/images/normal/AB-EldersIpswich/img_1409803_701f479fdd683223619bcfee6f165778.jpg?1666960072', 'https://inspectre.blob.core.windows.net/images/normal/AB-EldersIpswich/img_1409803_5ba0669a58a542a7cc6379f6de3c3131.jpg?1666960077', 'https://inspectre.blob.core.windows.net/images/normal/AB-EldersIpswich/img_1409803_ac240efd3815d0217cc2081797849432.jpg?1666960078', 'https://inspectre.blob.core.windows.net/images/normal/AB-EldersIpswich/img_1409803_a70132ae9e420ac655933b74aa19289f.jpg?1666960427', 'https://inspectre.blob.core.windows.net/images/normal/AB-EldersIpswich/img_1409803_786477fbb3a068ac127a0b4a8c0299c5.jpg?1666960452']",https://tenantapp.com.au/Rentals/ViewListing/1409803,1409803,Now,2022-10-31 11:54:18,Family Home in Raceview,"WANT TO APPLY FOR THIS PROPERTY BEFORE AN INSPECTION? Please refer to the bottom of this ad for further details.\n\n""BREAK LEASE SITUATION, AVAILABLE DATE MAY BE SUBJECT TO CHANGE""\n\nSituated in a highly sought after area. This lovely family home has so much to offer.\n\nFeatures Include:\n\n* Three good size bedrooms\n* Fabulous two-way bathroom\n* Well presented kitchen with electric appliances\n* Large lounge and dining areas\n* Security screens\n* Good size backyard\n* Fully Fenced\n\nAPPLYING ONLINE:\n\nAll you have to do is submit your enquiry online via Realestate.com and an apply link will be sent to your email!\n\nPlease ensure, all occupants over the age of 18 Submit an application and provide the below information and supporting documentation.\n\n* Appropriate Identification (Licence, Learners or 18+ card)\n* Proof of Signature (Healthcare or Pension Card, Bank Card etc)\n* Proof of Current Address (Rates notice, utility bill, car registration, insurance bill or rental receipts)\n* Evidence of your Income (4 x recent pay slips, Centrelink Income Statement. PLEASE NOTE: If you are self employed a profit and loss statement for the last financial year is required)\n* Current and Previous address details\n\nIt is important you provide all your supporting documentation. If this is not provided we cannot process your application.\n\n\nBook an inspection online or call us on 3201 3600!",3,1,1,['Cooling'],"https://www.google.com/maps/search/?api=1&query=19%20Colonial%20Court%2C%20Raceview;&center=-27.6362357,152.7651598&zoom=20;","GPS Location: -27.6362357, 152.7651598",Raceview,QLD,4305,Tahnee Hecker,False,True,,2022-10-31 11:54:18
2,"23 Nandina St, Macgregor",$165pw,https://tenantapp.com.au/Rentals/Agency/TheHomeCo,https://inspectre.blob.core.windows.net/logos/TheHomeCo.jpg,"['https://inspectre.blob.core.windows.net/images/normal/PM-THC/img_3815637_21bd0b5012e6d2cbbf435d3400c50f8c.jpg?1666881812', 'https://inspectre.blob.core.windows.net/images/normal/PM-THC/img_3815637_662c4905439f4f920b4da65370ef45fc.jpg?1666881812', 'https://inspectre.blob.core.windows.net/images/normal/PM-THC/img_3815637_4e48228fb06b6828d341708c8ebd9eef.jpg?1666881813', 'https://inspectre.blob.core.windows.net/images/normal/PM-THC/img_3815637_a4a7892e56e59cfceab6f659c8968a68.jpg?1666881813', 'https://inspectre.blob.core.windows.net/images/normal/PM-THC/img_3815637_8917bea05a6b1bb7a80080a929c0bb94.jpg?1666881813', 'https://inspectre.blob.core.windows.net/images/normal/PM-THC/img_3815637_5fa3b98cc933146aa1318d619bd79ccb.jpg?1666881814', 'https://inspectre.blob.core.windows.net/images/normal/PM-THC/img_3815637_7773a097951aaaa1444b7b9220dac2fe.jpg?1666881814']",https://tenantapp.com.au/Rentals/ViewListing/3815637,3815637,Now,2022-10-31 11:54:26,Furnished Double Bedroom with Shared Bathroom,"Available for occupancy from 1 November and only a short walk to local facilities and transport links, this east-facing double bedroom offers plenty of functional space whilst still being budget conscious. Having recently been renovated and with included storage as well as work/study desk, the room shares a large modern bathroom with only one other room. The open plan kitchen, living and dining area at the property are shared amongst the four bedrooms, all occupied by quite respectful residents.\n\nFurnishings include:\n-	Double bed\n-	Wardrobe\n-	Shelf\n-	Study desk and chair\n-	Washing Machine (shared)\n-	Fridge, freezer, airfryer, electric cooktop, microwave, benchtop oven, pots and pans, cutlery and crockery (shared)\n-	Dining table, sofa (shared)\n\nApplications and bookings for open homes can be made using the following link:\n\nhttps://book.inspectrealestate.com.au/Register?agentid=PM-THC&uniqueID=af3b03002c174456a2eb48abdc82803b&Type=Rental",1,1,0,"['Furnished', '10 sqr m']","https://www.google.com/maps/search/?api=1&query=23%20Nandina%20St%2C%20Macgregor;&center=-27.5680687,153.0815915&zoom=20;","GPS Location: -27.5680687, 153.0815915",Macgregor,QLD,4109,Brett Gillespie,False,True,,2022-10-31 11:54:26
3,"48 Naughton Street, Wandal",$380pw,https://tenantapp.com.au/Rentals/Agency/mcgrathrockhampton,https://inspectre.blob.core.windows.net/logos/mcgrathrockhampton.jpg,"['https://inspectre.blob.core.windows.net/images/normal/AB-MCGROCKHAMPTON/img_3815638_abd9ffb102a0ec0c1e632d50432cdf67.jpg?1666915902', 'https://inspectre.blob.core.windows.net/images/normal/AB-MCGROCKHAMPTON/img_3815638_94caa40c7a46440c987e373693a4c523.jpg?1666914904', 'https://inspectre.blob.core.windows.net/images/normal/AB-MCGROCKHAMPTON/img_3815638_881a212fc6d0e593e2a718690e4c0edd.jpg?1666915898', 'https://inspectre.blob.core.windows.net/images/normal/AB-MCGROCKHAMPTON/img_3815638_8b81fed7f4851d463ed98c4c7cd3f1ed.jpg?1666914952', 'https://inspectre.blob.core.windows.net/images/normal/AB-MCGROCKHAMPTON/img_3815638_ed4d9ce938a134af49c6051bd2eb7bbd.jpg?1666914891', 'https://inspectre.blob.core.windows.net/images/normal/AB-MCGROCKHAMPTON/img_3815638_ec05efd856b1eb7fe77a0e49536f0a51.jpg?1666914914', 'https://inspectre.blob.core.windows.net/images/normal/AB-MCGROCKHAMPTON/img_3815638_11340f4c00a452ca9a99c3458a93df88.jpg?1666914880', 'https://inspectre.blob.core.windows.net/images/normal/AB-MCGROCKHAMPTON/img_3815638_3a2fdc0132c309a256310893f36b3397.jpg?1666914962', 'https://inspectre.blob.core.windows.net/images/normal/AB-MCGROCKHAMPTON/img_3815638_c2e312bdf2b72d1b908d3e20217ee9c2.jpg?1666915900', 'https://inspectre.blob.core.windows.net/images/normal/AB-MCGROCKHAMPTON/img_3815638_7741e2018826ef5467cfee362ba4e13c.jpg?1666915937', 'https://inspectre.blob.core.windows.net/images/normal/AB-MCGROCKHAMPTON/img_3815638_7741e2018826ef5467cfee362ba4e13c.jpg?1666915937']",https://tenantapp.com.au/Rentals/ViewListing/3815638,3815638,Now,2022-10-31 11:54:35,Inviting home with renovated features in Wandal!,"This Wandal property is ready to go now!
\n
\nThis 2-bedroom Wandal property is in desirable location and offers so much potential. Not to mention the new renovations to the kitchen and bathroom for us to find the perfect tenant. The home is walking distance to state and high schools, and handy to all amenities.
\n
\nThe features this property offers are:
\n- High-set, 2 bedroom, 1 bath,
\n- Enclosed front entrance
\n- Central lounge & main bedroom with aircons
\n- Spacious side sleepout
\n- Semi-renovated kitchen with ample storage
\n- Tidy upgraded bathroom with toilet
\n- Under-house storage room and laundry 
\n- Quiet Wandal street close to schools, shops and services
\n
\nOur leasing consultant is available Monday to Friday 8:30am - 5:00pm you can contact him by 0422 816 608 or calebsell@mcgrath.com.au. Please call or text to arrange to view this property.
\n
\nThe best process to apply for this property is to visit our McGrath Rockhampton and Capricorn Coast website then search the rental list. Once you have located the property click on the ""APPLY FOR THIS PROPERTY"" button. We appreciate all applications are completed electronically.",2,1,0,['Cooling'],"https://www.google.com/maps/search/?api=1&query=48%20Naughton%20Street%2C%20Wandal;&center=-23.3726368,150.48820496&zoom=20;","GPS Location: -23.3726368, 150.48820496",Wandal,QLD,4700,Caleb Sell,False,True,,2022-10-31 11:54:35
4,"45 Reserve Street, POMONA",$350pw,https://tenantapp.com.au/Rentals/Agency/RHNoosaHinterland,https://inspectre.blob.core.windows.net/logos/RHNoosaHinterland.gif,"['https://inspectre.blob.core.windows.net/images/normal/V-RHNOOSAH/img_3817791_8dcd14adf870a9fe9113d5359a60871e.jpg?1666932275', 'https://inspectre.blob.core.windows.net/images/normal/V-RHNOOSAH/img_3817791_2e46dab330e1a98b6a638346915c6b3a.jpg?1666932275', 'https://inspectre.blob.core.windows.net/images/normal/V-RHNOOSAH/img_3817791_a906f64346a57ae5701e34642305b409.jpg?1666932275', 'https://inspectre.blob.core.windows.net/images/normal/V-RHNOOSAH/img_3817791_df866705f09489615315476ce8f699b5.jpg?1666932275', 'https://inspectre.blob.core.windows.net/images/normal/V-RHNOOSAH/img_3817791_8c7ce20dd6cbe3e2795d3b357c3703cb.jpg?1666932275', 'https://inspectre.blob.core.windows.net/images/normal/V-RHNOOSAH/img_3817791_fb77a1c03fbe641089bc67e998472a36.jpg?1666932275', 'https://inspectre.blob.core.windows.net/images/normal/V-RHNOOSAH/img_3817791_d563af3192f2a6c6bfde2879356fc9ec.jpg?1666932275', 'https://inspectre.blob.core.windows.net/images/normal/V-RHNOOSAH/img_3817791_f9547947b0b2f7f32f5a68ea1bbd8d8f.jpg?1666932275', 'https://inspectre.blob.core.windows.net/images/normal/V-RHNOOSAH/img_3817791_2ca48471f2269695a5549ca8641a0d29.jpg?1666932275']",https://tenantapp.com.au/Rentals/ViewListing/3817791,3817791,Now,2022-10-31 11:54:39,Hideaway In Town,"This cute cottage offers one bedroom open to the dining/kitchen room and has a bathroom complete with shower and composting toilet. \n\nYou don't see many of these around and this one is full off old school character wrapped in a modern interior and less than a 400m walk to the Pomona CBD. If you want to make an escape to the beautiful beaches of Noosa they are only just 30 minutes away including all the retail therapy and tourism you could need. \n\nProperty features;\n• 1 bedroom - partially furnished\n• Combined dining and kitchen - partially furnished \n• Gas cooking & hot water\n• Connection outside for washing machine\n• Town water - included in rent \n• composting toilet - so only suit 1-2 people max\n• Pets on application to suit with other pre-existing dog on property and no fences\n• Shared access and yard \n• Power is 20% of total bill\n\nThe home is an old forestry barracks converted into a modern self-contained 1-bedroom studio set on a peaceful 7-acre leafy property. There is no undercover car park, but there is a large parking area opposite the yard\n\nWe anticipate this one will go quick but are looking for the right person as it is a shared yard and access so if you are looking for something affordable and easy living then this might just be the one for you. Two people max due to constraints of the composting toilet.\n\nWhilst all due diligence has been taken in the preparation/details of this document we can attach no guarantee to them & recommend intending lessees conduct their own enquiries.\n\nWish to Inspect?\nTo arrange an inspection of this rental property, use the book inspection now button on the webpage to submit enquiry and book an available viewing time or register your interest to be advised when one becomes available.\n\nWish to apply?\nWe use the 2Apply application system online and you will receive a link to this once you make an enquiry on the property. We encourage you to apply prior to viewing as this property will go very quick with its desirable extras and fantastic location. \n\nDO NOT enter any property without an agent present and do not bring pets to inspections.\n\n• Our agency uses SimpleRent for rent collection (fees & charges apply)\n• We do not use 1Form and use 2Apply only for applications.",1,1,1,[],"https://www.google.com/maps/search/?api=1&query=45%20Reserve%20Street%2C%20POMONA;&center=-26.3705792,152.8511211&zoom=20;","GPS Location: -26.3705792, 152.8511211",POMONA,QLD,4568,The Rentals Team,False,True,,2022-10-31 11:54:39
5,"54 Greenwood Drive, Kirwan",$465pw,https://tenantapp.com.au/Rentals/Agency/RentalManagers,https://inspectre.blob.core.windows.net/logos/RentalManagers.png,"['https://inspectre.blob.core.windows.net/images/normal/rm001/img_3818000_a4f09b865ef76fba3658047b59b8f360.jpg?1666967165', 'https://inspectre.blob.core.windows.net/images/normal/rm001/img_3818000_e57d6a4e5be686a3aac77c89ab5ebf66.jpg?1666967165', 'https://inspectre.blob.core.windows.net/images/normal/rm001/img_3818000_d6303298e4cff9ed1ea9a868bef46726.jpg?1666967165', 'https://inspectre.blob.core.windows.net/images/normal/rm001/img_3818000_ebc7dc7e46e868838502a18c732cb450.jpg?1666967165', 'https://inspectre.blob.core.windows.net/images/normal/rm001/img_3818000_564471d01693df9492051469ebe62a70.jpg?1666967165', 'https://inspectre.blob.core.windows.net/images/normal/rm001/img_3818000_0f0f4350516833ce322983a7c48c3799.jpg?1666967165', 'https://inspectre.blob.core.windows.net/images/normal/rm001/img_3818000_2b3799903435c35875314d3e731e454f.jpg?1666967165', 'https://inspectre.blob.core.windows.net/images/normal/rm001/img_3818000_b3bf4ad4f21a72bd4286b68e4df7fd77.jpg?1666967165']",https://tenantapp.com.au/Rentals/ViewListing/3818000,3818000,Now,2022-10-31 11:54:47,Family Friendly in Beautiful Kirwan,"Looking for a Lovely family home located in the Heart of Kirwan, then look no further than this beauty in Greenwood estate.
\nFully airconditioned and ready for the Townsville heat this property is an entertainers delight with a large and spacious back patio.
\nWith a generous size kitchen with plenty of bench space, it will be lovely to enjoy with family and friends.
\nDon't miss out book an appointment and put your applications in as soon as possible.",4,2,2,"['Cooling', 'Ensuite']","https://www.google.com/maps/search/?api=1&query=54%20Greenwood%20Drive%2C%20Kirwan;&center=-19.2948242,146.7299309&zoom=20;","GPS Location: -19.2948242, 146.7299309",Kirwan,QLD,4817,Naomi Fontaine,False,True,,2022-10-31 11:54:47
6,"15 Moon Circuit, Karawatha",$600pw,https://tenantapp.com.au/Rentals/Agency/beautique,https://inspectre.blob.core.windows.net/logos/beautique.jpg,"['https://inspectre.blob.core.windows.net/images/normal/REX-3815/img_3818271_5f13034774d18e710071a42e6db29820.jpg?1666972207', 'https://inspectre.blob.core.windows.net/images/normal/REX-3815/img_3818271_a1d35c0f1df24b77fe6a73f249e43ea4.jpg?1666972207', 'https://inspectre.blob.core.windows.net/images/normal/REX-3815/img_3818271_dba7c00ad37dbded39960a58bb002958.jpg?1666972207', 'https://inspectre.blob.core.windows.net/images/normal/REX-3815/img_3818271_4751d284bef1d6d5c3f6abfafe625580.jpg?1666972207', 'https://inspectre.blob.core.windows.net/images/normal/REX-3815/img_3818271_06bf3943b9498272dd01a8300a0d99df.jpg?1666972207', 'https://inspectre.blob.core.windows.net/images/normal/REX-3815/img_3818271_7b6b1a2f7c35ab24980b27cf1738f74f.jpg?1666972207', 'https://inspectre.blob.core.windows.net/images/normal/REX-3815/img_3818271_061e6a2d306bbf2af93d8dc49e6bdbaf.jpg?1666972207', 'https://inspectre.blob.core.windows.net/images/normal/REX-3815/img_3818271_2025ef952da12bb8b551b5853b9715ed.jpg?1666972207', 'https://inspectre.blob.core.windows.net/images/normal/REX-3815/img_3818271_3fe73c9ec75f144fedf2a4542162b724.jpg?1666972207', 'https://inspectre.blob.core.windows.net/images/normal/REX-3815/img_3818271_59ec810cc87cdb817f79fdc6dce298a2.jpg?1666972207', 'https://inspectre.blob.core.windows.net/images/normal/REX-3815/img_3818271_b84201f586db731890d0ca087138e79d.jpg?1666972207']",https://tenantapp.com.au/Rentals/ViewListing/3818271,3818271,Now,2022-10-31 11:55:07,Small quiet estate with brand new homes overlooking bushland,"This is a fantastic Hamptons Style home with great floor plan and modern light décor!
\n 
\nThe entry includes access to your home office space before your long hallway leads you through this expansive 4 bedroom home.
\n 
\nThere is ducted air conditioning through out and wonderfully private back yard perfect for Queensland living. Also the outdoor alfresco dining which is accessed off the living through sliding doors.
\n
\nThe kitchen has electric cooking, a dishwasher, and great cupboard space. There is a large broom cupboard, and plenty of space for family living. All bedrooms have ceiling fans, and mirror wardrobes. Roller blinds throughout. 
\n
\nThe full features list includes:
\n4 Bedrooms
\n2 Bathrooms,
\nMaster Bedroom with Ceiling fan,
\nEnsuite,
\nDucted Air conditioning
\nMain Bathroom complete with large shower,
\nWell Designed Kitchen with Stainless Steel Appliances, Dishwasher and plenty of Cupboards,
\nOpen plan Lounge and Dining Room Space,
\nSeparate Laundry
\nExtra large Double Lock-Up garage with remotes, and internal access,
\nUnder Roof Alfresco Area, 
\nRoller Blinds, Screens, 
\nFloating floors throughout Living Areas ,
\nClose Proximity to Public and Private Schools, Parkland, Transport and Motorway.
\n
\nPlease note the tenant is to maintain the gardens and must also pay for water usage.
\n
