,address,price,agency_property_listings_url,agency_logo,property_images,property_url,property_id,move_in_date,data_collection_date,listing_title,listing_description,num_bedrooms,num_bathrooms,num_garages,property_features,google_maps_location_url,gps_coordinates,suburb,state_and_territory,postcode,agent_name,off_market,ad_details_included,ad_removed_date,ad_posted_date
0,"55 Causeway Road, GLANVILLE",Contact Agent,https://tenantapp.com.au/Rentals/Agency/ProfileRE,https://inspectre.blob.core.windows.net/logos/ProfileRE.JPG,"['https://inspectre.blob.core.windows.net/images/normal/AP13639/img_3818775_c61a23ac611628a866a3b205e0b8f24e.jpg?1666886464', 'https://inspectre.blob.core.windows.net/images/normal/AP13639/img_3818775_b704531ea4aea26412aa300a1a6e193d.jpg?1666886473', 'https://inspectre.blob.core.windows.net/images/normal/AP13639/img_3818775_1be07e55e50c0228375dde3e1fa318ed.jpg?1666886474', 'https://inspectre.blob.core.windows.net/images/normal/AP13639/img_3818775_e3cebabaf9b15ed918d1e74fb606ca5c.jpg?1666886480', 'https://inspectre.blob.core.windows.net/images/normal/AP13639/img_3818775_dd7f4dd410dba23d5ec5b6fd659b409c.jpg?1666886484', 'https://inspectre.blob.core.windows.net/images/normal/AP13639/img_3818775_4b7d3d255c9ecd15b78acd99c2150c76.jpg?1666886240', 'https://inspectre.blob.core.windows.net/images/normal/AP13639/img_3818775_8f184b15643121967cd1f24bde726fd3.jpg?1666886250', 'https://inspectre.blob.core.windows.net/images/normal/AP13639/img_3818775_fb4ee9a52934770db8c2d42df832a19b.jpg?1667064021', 'https://inspectre.blob.core.windows.net/images/normal/AP13639/img_3818775_b0fbd8c4fda968b1e01e44697dfb52ec.jpg?1667064021', 'https://inspectre.blob.core.windows.net/images/normal/AP13639/img_3818775_c07fd336844f00ff89ce8cba55e0eace.jpg?1666886223']",https://tenantapp.com.au/Rentals/ViewListing/3818775,3818775,4/11/22,2022-10-30 22:02:42,Low Maintenance Courtyard Home with quality finishes and design,"•	Main bedroom with walk-in robe and ensuite bathroom\n•	Built in robes in bedrooms 2 and 3, carpet to all 3 bedrooms\n•	Ducted reverse cycle air-conditioning throughout\n•	Beautiful open plan kitchen / dining area with ample storage space, floating floorboards throughout living area\n•	Kitchen with stainless steel appliances, dishwasher and gas cooking \n•	Main bathroom with bath\n•	Separate toilet \nLaundry with space for under bench washing machine only\n•	Single car garage with internal access\n•	Low maintenance rear yard \n\nClose to Glanville bus and train station, Semaphore beach and shopping strip, LeFevre Kindergarten and Le Fevre Primary School.\n\nTo view the property, contact 8242 2255 or email reception@dmkohlhagen.com.au\nRLA 260881",3,2,0,"['Cooling', 'Dishwasher', 'Water Tank']","https://www.google.com/maps/search/?api=1&query=55%20Causeway%20Road%2C%20GLANVILLE;&center=-34.8457678,138.493997&zoom=20;","GPS Location: -34.8457678, 138.493997",GLANVILLE,SA,5015,Margaret Kohlhagen,False,True,,2022-10-30 22:02:42
1,"290 Waterloo Corner Road, PARALOWIE",$400.00 per week,https://tenantapp.com.au/Rentals/Agency/fnsalisbury,https://inspectre.blob.core.windows.net/logos/fnsalisbury.png,"['https://inspectre.blob.core.windows.net/images/normal/V-FNSALISBURY/img_3817228_02f9edf2edb832e63ffe20d1a76cfefd.JPG?1666920662', 'https://inspectre.blob.core.windows.net/images/normal/V-FNSALISBURY/img_3817228_e3a9e96ef4466892b8ba82eaff4297d7.JPG?1666920662', 'https://inspectre.blob.core.windows.net/images/normal/V-FNSALISBURY/img_3817228_829c9fe05255552578bdad31ccf601a0.JPG?1666920662', 'https://inspectre.blob.core.windows.net/images/normal/V-FNSALISBURY/img_3817228_27ddda25fbf8224dc5660d463260080c.JPG?1666920662', 'https://inspectre.blob.core.windows.net/images/normal/V-FNSALISBURY/img_3817228_53ebe77d310843c4b9b6331cd7b8b2af.JPG?1666920662', 'https://inspectre.blob.core.windows.net/images/normal/V-FNSALISBURY/img_3817228_eefa22c41916e9012f02856cec46490f.JPG?1666920662', 'https://inspectre.blob.core.windows.net/images/normal/V-FNSALISBURY/img_3817228_6867e585bd9ea4f78975283c4b7c6e96.JPG?1666920662', 'https://inspectre.blob.core.windows.net/images/normal/V-FNSALISBURY/img_3817228_64aab49744ed031256c8f9d5c9b9e3b2.JPG?1666920662', 'https://inspectre.blob.core.windows.net/images/normal/V-FNSALISBURY/img_3817228_0f7d4dc3d99f68b5ce360a9c4f4da0c7.JPG?1666920662', 'https://inspectre.blob.core.windows.net/images/normal/V-FNSALISBURY/img_3817228_a0fc1fc595e532c837cf4b587f5470bf.JPG?1666920662', 'https://inspectre.blob.core.windows.net/images/normal/V-FNSALISBURY/img_3817228_812e879d695f8fd384f3d09d55c37be3.JPG?1666920662', 'https://inspectre.blob.core.windows.net/images/normal/V-FNSALISBURY/img_3817228_0d921929552290619fcef195fb9f4bbd.JPG?1666920662', 'https://inspectre.blob.core.windows.net/images/normal/V-FNSALISBURY/img_3817228_f650367054aa0f5f552eacef86626bf6.jpg?1666920662', 'https://inspectre.blob.core.windows.net/images/normal/V-FNSALISBURY/img_3817228_f650367054aa0f5f552eacef86626bf6.jpg?1666920662']",https://tenantapp.com.au/Rentals/ViewListing/3817228,3817228,4/11/22,2022-10-30 22:02:43,Neat and Simple Living,"This neat, low maintenance family home ticks all the boxes for any family with three good sized bedrooms and plenty of space throughout with a spacious open plan kitchen/dining area, large separate lounge room and freshly painted throughout.\n\nLocated at the front of the home is the large lounge room providing comfort with ceiling fan and split system air conditioning. As you move further into the home you will find the large kitchen and dining area with plenty of cupboard and pantry space along with gas cooking appliances and second split system air conditioner.\n\nThe bathroom is separated from the toilet and has both bath and shower and plenty of storage in the vanity.\n\nOutside you will find a shade cloth entertaining area perfect for sitting under while watching the kids play in the large low maintenance yard. A small tool shed can also be found out the back perfect for storage. The property also includes a single carport providing shade for your car from the weather.\n\nPets Negotiable.\n\nINSPECTING THE PROPERTY: Due to access restrictions and strong rental demand, there may be no open inspections scheduled for this property. In order to view the property and avoid disappointing, we STRONGLY recommend sending through your application for pre-screening. Pre-approved applicants will be contacted for a private viewing.\n\nAPPLYING FOR THIS PROPERTY: In order to avoid disappointment, we STRONGLY recommend submitting your application prior to viewing. Inspection times will be posted online when (and if) available and applications submitted will be notified of any upcoming inspections. You can apply for this property online via 2Apply.",3,1,1,[],"https://www.google.com/maps/search/?api=1&query=290%20Waterloo%20Corner%20Road%2C%20PARALOWIE;&center=-34.7462003,138.614654&zoom=20;","GPS Location: -34.7462003, 138.614654",PARALOWIE,SA,5108,Property Management Department,False,True,,2022-10-30 22:02:43
2,"18 Naperian Road, SALISBURY NORTH",$395.00 per week,https://tenantapp.com.au/Rentals/Agency/fnsalisbury,https://inspectre.blob.core.windows.net/logos/fnsalisbury.png,"['https://inspectre.blob.core.windows.net/images/normal/V-FNSALISBURY/img_3817236_7a98534732884013f9feb52dd9ff8bc8.jpg?1666921418', 'https://inspectre.blob.core.windows.net/images/normal/V-FNSALISBURY/img_3817236_d733268d660f2ff9faed85afabde7c5b.jpg?1666921418', 'https://inspectre.blob.core.windows.net/images/normal/V-FNSALISBURY/img_3817236_516b68dbae2058c2307c28b230eed1f7.jpg?1666921418', 'https://inspectre.blob.core.windows.net/images/normal/V-FNSALISBURY/img_3817236_4e3475d7d84ca3027022dcc90fd61706.jpg?1666921418', 'https://inspectre.blob.core.windows.net/images/normal/V-FNSALISBURY/img_3817236_15ebc1254ef139f4a44ed31b0e0a95cb.jpg?1666921418', 'https://inspectre.blob.core.windows.net/images/normal/V-FNSALISBURY/img_3817236_5f4ce98663de46d6485cf1c78377c552.jpg?1666921418', 'https://inspectre.blob.core.windows.net/images/normal/V-FNSALISBURY/img_3817236_44147173f1495065bd4bffd994adb3b5.jpg?1666921418', 'https://inspectre.blob.core.windows.net/images/normal/V-FNSALISBURY/img_3817236_73b5d262d91e9e7cde8ae3dcca139202.jpg?1666921418', 'https://inspectre.blob.core.windows.net/images/normal/V-FNSALISBURY/img_3817236_5750c45959715a0c19721c31d5a37467.jpg?1666921418', 'https://inspectre.blob.core.windows.net/images/normal/V-FNSALISBURY/img_3817236_fb03e7a56c423983d9fa5f7ea0965e27.jpg?1666921418', 'https://inspectre.blob.core.windows.net/images/normal/V-FNSALISBURY/img_3817236_40a22c5e6abc9eeb78dbec004e9f0867.jpg?1666921418', 'https://inspectre.blob.core.windows.net/images/normal/V-FNSALISBURY/img_3817236_2119f2d61a6348d015c8884bcd4137b9.jpg?1666921418']",https://tenantapp.com.au/Rentals/ViewListing/3817236,3817236,4/11/22,2022-10-30 22:02:45,Neat Three Bedroom Family Home,"This neat, low maintenance family home ticks all the boxes for any family with three good sized bedrooms - all with BIR's and ceiling fans, a bathroom with separate shower and bath, spacious lounge room with heating and cooling for year round comfort and an open plan kitchen and dining area. The kitchen is fully equipped  with pantry, ample cupboards and electric cooking.\n\nOutside you will find a stunning outdoor undercover entertaining and an easy to maintain yard with a grassed area perfect for the children and family pet to play. The property also includes a single carport with automatic roller door for added security.\n\nPets Negotiable.\n\nINSPECTING THE PROPERTY: Due to access restrictions and strong rental demand, there may be no open inspections scheduled for this property. In order to view the property and avoid disappointing, we STRONGLY recommend sending through your application for pre-screening. Pre-approved applicants will be contacted for a private viewing.\n\nAPPLYING FOR THIS PROPERTY: In order to avoid disappointment, we STRONGLY recommend submitting your application prior to viewing. Inspection times will be posted online when (and if) available and applications submitted will be notified of any upcoming inspections. You can apply for this property online via 2Apply.",3,1,1,['Cooling'],"https://www.google.com/maps/search/?api=1&query=18%20Naperian%20Road%2C%20SALISBURY%20NORTH;&center=-34.7442105,138.6275135&zoom=20;","GPS Location: -34.7442105, 138.6275135",SALISBURY NORTH,SA,5108,Property Management Department,False,True,,2022-10-30 22:02:45
3,"15 Esperance Drive, Andrews Farm",$400 / Wk,https://tenantapp.com.au/Rentals/Agency/BoffoRE,https://inspectre.blob.core.windows.net/logos/BoffoRE.jpg,"['https://inspectre.blob.core.windows.net/images/normal/REX-00702/img_510287_e7bc843455af55ad0208cf0e74819436.jpg?1636736428', 'https://inspectre.blob.core.windows.net/images/normal/REX-00702/img_510287_384e0c33d20df7db2f7f3d5a8ca5cbf1.jpg?1636736428', 'https://inspectre.blob.core.windows.net/images/normal/REX-00702/img_510287_3052f147026d69416fac1fa47caa6b44.jpg?1636736428']",https://tenantapp.com.au/Rentals/ViewListing/510287,510287,4/11/22,2022-10-30 22:02:46,Modern 3 bedroom home!,"IMPORTANT NOTE: Only limited spots are available to view the property at inspection. Submitted applications will be given priority to view. Please complete an application online through the 'Apply for this property' button on the property listing on our website (boffo.com.au) with all relevant documentation included.
\n
\nAvailable: NOW
\nLease Term: 12 months
\nPets: Not Permitted
\n
\nFeatures include:
\n- Main bedroom with ensuite and walk-in-robe
\n- Spacious open plan kitchen, dining, and living area 
\n- Formal lounge room
\n- Split system air conditioning to lower and upper levels
\n- Separate toilet with a hand basin and a laundry facilities
\n- Double garage with automatic roller door
\n
\nWater Charges: Tenants to pay all water supply charge & all water usage
\n
\nThe Landlord cannot guarantee that the property has an active phone line or ADSL/NBN connections or in an internet availability area.
\n
\nTO VIEW THIS PROPERTY: please enquire via the 'Book an Inspection' or 'Request an Inspection' button and we will respond with an inspection time (if available). You must be registered for the inspection to attend. If no inspection times are currently available, please submit your details and you will be advised instantly when a new time is available.
\n
\nBy registering, you will be instantly informed of any updates, changes.
\n
\nRLA 313174",3,2,2,['Cooling'],"https://www.google.com/maps/search/?api=1&query=15%20Esperance%20Drive%2C%20Andrews%20Farm;&center=-34.6836377,138.6542172&zoom=20;","GPS Location: -34.6836377, 138.6542172",Andrews Farm,SA,5114,Louise Penko,False,True,,2022-10-30 22:02:46
4,"29 Telford Road, Ingle Farm",$400 - $420 / Wk,https://tenantapp.com.au/Rentals/Agency/BoffoRE,https://inspectre.blob.core.windows.net/logos/BoffoRE.jpg,"['https://inspectre.blob.core.windows.net/images/normal/REX-00702/img_2299237_fca3afd997cac6ecb100db9527aa888d.jpg?1634138462', 'https://inspectre.blob.core.windows.net/images/normal/REX-00702/img_2299237_90a14d15fc120f917edc4444dcec05a8.jpg?1634138462', 'https://inspectre.blob.core.windows.net/images/normal/REX-00702/img_2299237_a1bc88c70cf43604ce0029747422fb80.jpg?1634138462', 'https://inspectre.blob.core.windows.net/images/normal/REX-00702/img_2299237_a60c5e4ebab5cf90fb0a20d5d4906db1.jpg?1634138462', 'https://inspectre.blob.core.windows.net/images/normal/REX-00702/img_2299237_22da57cf0abf24f2bc738000fa2be3bd.jpg?1634138462', 'https://inspectre.blob.core.windows.net/images/normal/REX-00702/img_2299237_ba1db05fa2ce572993d35f6fa211dffa.jpg?1634140940', 'https://inspectre.blob.core.windows.net/images/normal/REX-00702/img_2299237_feb8abf30a436b9601fd12b68e035ddb.jpg?1634140940', 'https://inspectre.blob.core.windows.net/images/normal/REX-00702/img_2299237_b0aeede93a8a76eb72e07b0597009da0.jpg?1634140940', 'https://inspectre.blob.core.windows.net/images/normal/REX-00702/img_2299237_d9199181c1830a94f115a8506f4d2d62.jpg?1634140940', 'https://inspectre.blob.core.windows.net/images/normal/REX-00702/img_2299237_2a0b175811309b36c0018b9cf3af7074.jpg?1634140940', 'https://inspectre.blob.core.windows.net/images/normal/REX-00702/img_2299237_4dd7a46497c7e3767228675e4a05104a.jpg?1634140940', 'https://inspectre.blob.core.windows.net/images/normal/REX-00702/img_2299237_3a5f239af172ede28a57824469fae207.jpg?1634140940', 'https://inspectre.blob.core.windows.net/images/normal/REX-00702/img_2299237_8b744ec7fba11bb5eb55109e81122b2f.jpg?1571820827', 'https://inspectre.blob.core.windows.net/images/normal/REX-00702/img_2299237_8b744ec7fba11bb5eb55109e81122b2f.jpg?1571820827']",https://tenantapp.com.au/Rentals/ViewListing/2299237,2299237,4/11/22,2022-10-30 22:02:47,Room For The Whole Family!,"IMPORTANT NOTE: Only limited spots are available to view the property at inspection. Submitted applications will be given priority to view. Please complete an application online through the 'Apply for this property' button on the property listing on our website (boffo.com.au) with all relevant documentation included.
\n
\nAvailable: 4th November
\nLease Term: 12 months
\nPets: Negotiable
\n
\nConveniently located in the emerging suburb of Ingle Farm, this 3 bedroom home is perfect for young families looking for convenience and room to play!
\n 
\nFeatures include:
\n- Large master bedroom with split system air conditioner 
\n- Good sized bedrooms 2 and 3 
\n- Open plan living/meals area with split system air conditioner 
\n- Kitchen with dishwasher and ample bench and cupboard space 
\n- Main bathroom with separate bath and shower 
\n- Spacious separate laundry with valuable second toilet and access to rear yard 
\n- Downlights throughout 
\n- Electric roller shutters to front windows 
\n- Fully fenced, low maintenance front and rear yard 
\n- Garden shed 
\n- Single carport with automatic roller door and direct internal entry 
\n- 3KW solar electrical system 
\n- Energy efficient electric hot water system 
\n
\nEXCLUSIONS: Evaporative air conditioning
\n 
\nIdeally located within close proximity to Ingle Farm Shopping Centre, a variety of schools, childcare centres, parks and public transport options. Only minutes away from all the shopping and entertainment that Tea Tree Plaza has to offer. All this and the added bonus of the Adelaide CBD only 15kms (approximately) away.
\n 
\nWater Charges: Tenants to pay all water supply charge & all water usage
\n
\nThe Landlord cannot guarantee that the property has an active phone line or ADSL/NBN connections or in an internet availability area.
\n
\nTO VIEW THIS PROPERTY: please enquire via the 'Book an Inspection' or 'Request an Inspection' button and we will respond with an inspection time (if available). You must be registered for the inspection to attend. If no inspection times are currently available, please submit your details and you will be advised instantly when a new time is available.
\n
\nBy registering, you will be instantly informed of any updates, changes.
\n
\nRLA 313174",3,1,1,"['Pets', 'Cooling', 'Dishwasher']","https://www.google.com/maps/search/?api=1&query=29%20Telford%20Road%2C%20Ingle%20Farm;&center=-34.832318,138.6537897&zoom=20;","GPS Location: -34.832318, 138.6537897",Ingle Farm,SA,5098,Louise Penko,False,True,,2022-10-30 22:02:47
5,"1/3 Seaview Road, Fullarton",$375 per week,https://tenantapp.com.au/Rentals/Agency/BellePropertyUnley,https://inspectre.blob.core.windows.net/logos/BellePropertyUnley.jpg,"['https://inspectre.blob.core.windows.net/images/normal/AB-BELLEUNLEY/img_3780435_97774f42931ebf6b16a8a774aa2d920d.jpg?1665058123', 'https://inspectre.blob.core.windows.net/images/normal/AB-BELLEUNLEY/img_3780435_6a7ebaa9d2cab9169a3c40e7e359f8a2.jpg?1665058122', 'https://inspectre.blob.core.windows.net/images/normal/AB-BELLEUNLEY/img_3780435_ee574ea76d951d85853e5b82ae3f0931.jpg?1665058122', 'https://inspectre.blob.core.windows.net/images/normal/AB-BELLEUNLEY/img_3780435_387c6054da5d18de1a0be9bb87b4c464.jpg?1665058123', 'https://inspectre.blob.core.windows.net/images/normal/AB-BELLEUNLEY/img_3780435_1143ecfc5487b56e291684d069b18e33.jpg?1665058124', 'https://inspectre.blob.core.windows.net/images/normal/AB-BELLEUNLEY/img_3780435_85b8b6339ab853e6cb397687b284f2c9.jpg?1665058124', 'https://inspectre.blob.core.windows.net/images/normal/AB-BELLEUNLEY/img_3780435_c454a7e5a4de0fddb0d0e8589e44f532.jpg?1665058123', 'https://inspectre.blob.core.windows.net/images/normal/AB-BELLEUNLEY/img_3780435_1b64a772e46b98b9355bbfa721b04733.jpg?1665058123', 'https://inspectre.blob.core.windows.net/images/normal/AB-BELLEUNLEY/img_3780435_bae5b4f121647972b74ac4fd795e69e4.jpg?1665058122', 'https://inspectre.blob.core.windows.net/images/normal/AB-BELLEUNLEY/img_3780435_eb3b87b87f2f5a00a0df4bf7b8c9cd68.jpg?1665058123', 'https://inspectre.blob.core.windows.net/images/normal/AB-BELLEUNLEY/img_3780435_fcc19cfbb92cd83189ad38d9d406ce1b.jpg?1665058123', 'https://inspectre.blob.core.windows.net/images/normal/AB-BELLEUNLEY/img_3780435_3fe89820b560ed2b0d5484ffa3b8a07c.jpg?1665058123', 'https://inspectre.blob.core.windows.net/images/normal/AB-BELLEUNLEY/img_3780435_c8724730ac51aedf1ec7736294935687.jpg?1665058240', 'https://inspectre.blob.core.windows.net/images/normal/AB-BELLEUNLEY/img_3780435_b20d6e92463e11562a7708bfd89d9445.jpg?1665058240', 'https://inspectre.blob.core.windows.net/images/normal/AB-BELLEUNLEY/img_3780435_b20d6e92463e11562a7708bfd89d9445.jpg?1665058240']",https://tenantapp.com.au/Rentals/ViewListing/3780435,3780435,4/11/22,2022-10-30 22:02:49,One bedroom home unit in premium locale,"This one bedroom unit is situated in a well maintained group of home units. Located in a premium tree lined pocket of this highly sought after locale with Glen Osmond Road and Unley Road cafe and shopping Precincts in close proximity, easy cbd access with public transport links and everyday conveniences.
\n
\n-	Functional layout with practical kitchen including ample storage overlooking living area
\n-	Bedroom with split system air conditioning
\n-	Practical bathroom with shower 
\n-	Laundry facilities 
\n-       Furnished unit
